Treat,Rep,Block,Day,IniTopAd,IniTopNym,IniBotAd,IniBotNym,Adtot,Nymtot,Poptot,Popred,divmeans,popDt
C,1,1,2,17,32,7,12,23,177,200,-17,172,0.162790698
HCHC,1,1,2,16,19,12,19,13,135,148,35,124.25,0.191146881
HCC7,1,1,2,11,25,14,15,12,70,82,101,116.5,-0.296137339
HCPT,1,1,2,2,11,22,37,17,156,173,10,144.8173077,0.194608592
C7C7,1,1,2,15,39,10,13,12,108,120,63,108.75,0.103448276
C7PT,1,1,2,12,21,13,34,14,135,149,34,137.0673077,0.087057173
PTPT,1,1,2,9,16,14,43,17,171,188,-5,165.3846154,0.136744186
C,2,1,2,10,19,5,21,17,137,154,29,172,-0.104651163
HCHC,2,1,2,15,17,7,30,17,89,106,77,124.25,-0.146881288
HCC7,2,1,2,11,33,17,35,20,102,122,61,116.5,0.0472103
HCPT,2,1,2,22,46,4,29,23,177,200,-17,144.8173077,0.381050395
C7C7,2,1,2,12,30,9,56,20,153,173,10,108.75,0.590804598
C7PT,2,1,2,8,14,9,26,16,102,118,65,137.0673077,-0.139109085
PTPT,2,1,2,11,24,6,14,23,162,185,-2,165.3846154,0.118604651
C,3,1,2,18,34,5,35,25,186,211,-28,172,0.226744186
HCHC,3,1,2,17,46,4,17,14,131,145,38,124.25,0.167002012
HCC7,3,1,2,17,35,6,25,13,113,126,57,116.5,0.081545064
HCPT,3,1,2,9,26,12,48,19,177,196,-13,144.8173077,0.353429387
C7C7,3,1,2,13,27,10,36,16,44,60,123,108.75,-0.448275862
C7PT,3,1,2,14,30,8,34,19,132,151,32,137.0673077,0.101648544
PTPT,3,1,2,10,33,11,40,19,148,167,16,165.3846154,0.009767442
C,4,1,2,12,31,11,42,15,105,120,63,172,-0.302325581
HCHC,4,1,2,12,15,10,21,18,72,90,93,124.25,-0.275653924
HCC7,4,1,2,15,20,8,32,15,74,89,94,116.5,-0.236051502
HCPT,4,1,2,16,22,9,41,15,109,124,59,144.8173077,-0.143748755
C7C7,4,1,2,12,32,11,35,14,101,115,68,108.75,0.057471264
C7PT,4,1,2,14,22,11,27,19,153,172,11,137.0673077,0.254857945
PTPT,4,1,2,7,22,11,22,12,61,73,110,165.3846154,-0.558604651
C,5,1,2,13,31,9,21,21,145,166,17,172,-0.034883721
HCHC,5,1,2,14,20,12,44,14,175,189,-6,124.25,0.521126761
HCC7,5,1,2,16,17,12,40,16,88,104,79,116.5,-0.107296137
HCPT,5,1,2,12,36,10,30,13,131,144,39,144.8173077,-0.005643716
C7C7,5,1,2,15,20,7,60,16,153,169,14,108.75,0.554022989
C7PT,5,1,2,10,13,7,38,19,111,130,53,137.0673077,-0.051560856
PTPT,5,1,2,15,38,8,18,21,160,181,2,165.3846154,0.094418605
C,6,1,2,2,6,18,27,22,225,247,-64,172,0.436046512
HCHC,6,1,2,13,40,8,30,15,126,141,42,124.25,0.134808853
C7C7,6,1,2,12,25,9,19,16,111,127,56,108.75,0.167816092
PTPT,6,1,2,16,30,6,26,18,185,203,-20,165.3846154,0.22744186
C,1,1,4,17,32,7,12,19,317,336,-77.66666667,265,0.267924528
HCHC,1,1,4,16,19,12,19,3,120,123,135.3333333,124.9166667,-0.015343562
HCC7,1,1,4,11,25,14,15,1,67,68,190.3333333,120.4166667,-0.435294118
HCPT,1,1,4,2,11,22,37,15,147,162,96.33333333,175.4583333,-0.076703871
C7C7,1,1,4,15,39,10,13,9,145,154,104.3333333,115.9166667,0.328540618
C7PT,1,1,4,12,21,13,34,8,168,176,82.33333333,170.9583333,0.029490617
PTPT,1,1,4,9,16,14,43,17,248,265,-6.666666667,226,0.172566372
