"","Treat","HC","C7","PT","Rep","Block","Day","Adtot","Nymtot","Poptot","propcol","adtop","nymtop","addist","nymdist","centtot","centprop","totinf","propinf"
"1","Control",0,0,0,1,1,2,23,177,200,1,0.913043478,0.632768362,19.25217391,11.55412429,105,0.525,9,1
"2","HCHC",2,0,0,1,1,2,13,135,148,0.888888889,0.846153846,0.622222222,11.14153846,4.587851852,116,0.783783784,8,0.888888888888889
"3","HCC7",1,1,0,1,1,2,12,70,82,0.777777778,0.666666667,0.942857143,20.80666667,13.14457143,38,0.463414634,5,0.555555555555556
"4","HCPT",1,0,1,1,1,2,17,156,173,1,0.764705882,0.365384615,16.35058824,6.171794872,118,0.682080925,5,0.555555555555556
"5","C7C7",0,2,0,1,1,2,12,108,120,0.888888889,0.833333333,0.805555556,16.09333333,11.14407407,63,0.525,6,0.666666666666667
"6","C7PT",0,1,1,1,1,2,14,135,149,1,0.928571429,0.637037037,16.65142857,10.86666667,76,0.510067114,7,0.777777777777778
"7","PTPT",0,0,2,1,1,2,17,171,188,0.888888889,0.764705882,0.578947368,24.46588235,11.74573099,97,0.515957447,6,0.666666666666667
"8","Control",0,0,0,2,1,2,17,137,154,0.888888889,0.882352941,0.656934307,14.2,8.518248175,96,0.623376623,9,1
"9","HCHC",2,0,0,2,1,2,17,89,106,0.777777778,1,0.674157303,16.35058824,5.688089888,73,0.688679245,3,0.333333333333333
"10","HCC7",1,1,0,2,1,2,20,102,122,1,0.8,0.852941176,23.554,7.539607843,72,0.590163934,8,0.888888888888889
"11","HCPT",1,0,1,2,1,2,23,177,200,1,0.782608696,0.836158192,20.99130435,8.841581921,115,0.575,7,0.777777777777778
"12","C7C7",0,2,0,2,1,2,20,153,173,0.888888889,1,0.843137255,16.898,11.8020915,89,0.514450867,6,0.666666666666667
"13","C7PT",0,1,1,2,1,2,16,102,118,1,0.8125,0.823529412,20.9075,19.48156863,28,0.237288136,4,0.444444444444444
"14","PTPT",0,0,2,2,1,2,23,162,185,0.888888889,1,0.635802469,21.71130435,13.25382716,80,0.432432432,8,0.888888888888889
"15","Control",0,0,0,3,1,2,25,186,211,1,0.84,0.677419355,15.312,7.12344086,143,0.677725118,9,1
