Treat,Block,Rep,A1,A2,A3,B1,B2,B3,C1,C2,C3,totinf
C7:C7,1,5,1,1,1,0,1,0,1,1,1,7
C7:C7,1,2,1,0,1,1,0,1,0,1,1,6
C7:C7,1,6,0,1,1,1,1,0,1,1,1,7
C7:C7,2,6,1,0,0,1,1,1,1,0,0,5
C7:C7,2,5,0,1,0,0,1,1,1,0,1,5
C7:C7,2,7,1,1,0,1,1,1,1,1,1,8
C7:C7,2,2,1,1,1,1,1,1,1,0,1,8
C7:C7,2,4,1,1,1,1,1,1,1,1,1,9
C7:C7,1,4,0,1,1,0,0,0,1,1,1,5
C7:C7,2,3,1,1,1,1,1,1,1,1,1,9
C7:C7,1,3,0,1,0,1,1,1,0,1,1,6
C7:C7,1,1,1,0,1,1,0,1,1,0,1,6
C7:PT,1,3,0,1,1,0,0,1,1,1,0,5
C7:PT,1,2,1,0,0,0,0,0,1,1,1,4
C7:PT,1,4,1,1,1,1,1,0,1,1,1,8
C7:PT,2,7,1,1,1,1,0,1,1,1,1,8
C7:PT,2,6,1,0,1,1,1,1,1,1,1,8
C7:PT,2,4,0,1,1,0,1,1,1,1,1,7
C7:PT,2,3,1,0,1,1,0,1,0,1,1,6
C7:PT,2,1,0,1,1,1,1,1,1,1,1,8
C7:PT,2,5,1,1,1,1,1,1,1,1,1,9
C7:PT,2,2,0,1,1,1,1,0,1,1,1,7
C7:PT,1,5,0,0,1,0,1,0,1,1,1,5
C7:PT,1,1,1,1,1,1,1,0,0,1,1,7
Control,1,6,1,0,1,0,1,0,0,0,0,3
Control,1,2,1,1,1,1,1,1,1,1,1,9
Control,1,1,1,1,1,1,1,1,1,1,1,9
Control,2,6,0,1,1,0,1,0,0,0,0,3
Control,2,3,1,1,1,1,0,1,1,1,1,8
Control,2,1,1,1,1,0,1,1,1,1,1,8
Control,2,5,1,1,0,1,1,0,1,1,1,7
Control,1,4,0,1,1,1,1,0,1,0,0,5
Control,1,5,0,1,1,1,1,1,0,1,1,7
Control,2,4,1,1,1,1,1,1,1,1,1,9
Control,2,2,1,1,1,1,1,1,1,1,1,9
Control,1,3,1,1,1,1,1,1,1,1,1,9
HC:C7,1,3,1,0,1,0,0,0,1,1,0,4
HC:C7,1,2,1,1,1,1,1,1,1,0,1,8
HC:C7,1,5,1,0,1,1,1,1,1,0,1,7
HC:C7,2,6,1,1,1,1,1,1,1,1,1,9
HC:C7,2,5,1,0,1,1,0,0,1,0,1,5
HC:C7,2,1,1,1,1,1,1,1,1,0,1,8
HC:C7,2,3,0,0,0,0,0,0,0,1,1,2
HC:C7,2,4,1,1,1,1,0,1,1,1,1,8
HC:C7,2,2,1,0,1,1,1,1,1,1,1,8
HC:C7,1,4,1,1,1,1,1,1,1,1,1,9
HC:C7,1,1,0,1,1,0,1,0,1,0,1,5
HC:HC,1,4,1,1,1,1,1,0,1,1,1,8
HC:HC,1,6,0,1,1,1,1,1,1,0,1,7
HC:HC,1,1,1,1,1,0,1,1,1,1,1,8
HC:HC,1,2,1,0,1,0,0,1,0,0,0,3
HC:HC,2,5,1,1,1,1,1,1,1,1,1,9
HC:HC,2,6,1,1,1,1,1,1,1,1,1,9
HC:HC,2,3,0,1,1,1,1,1,1,1,1,8
HC:HC,2,2,1,0,1,1,1,1,1,1,0,7
HC:HC,2,4,1,1,1,1,1,1,1,1,1,9
HC:HC,1,5,0,1,1,0,1,1,1,1,1,7
HC:HC,1,3,1,0,1,0,1,0,1,1,0,5
HC:HC,2,1,1,1,1,1,1,1,1,1,1,9
HC:HC,2,6,1,1,1,1,1,1,1,1,1,9
HC:PT,1,5,0,1,0,0,1,0,0,0,0,2
HC:PT,1,3,1,0,0,0,1,1,0,0,1,4
HC:PT,1,1,0,1,0,1,1,0,1,1,0,5
HC:PT,1,2,1,0,1,1,1,0,1,1,1,7
HC:PT,1,4,1,1,1,0,0,1,1,1,1,7
HC:PT,2,5,1,1,1,1,1,1,1,1,1,9
HC:PT,2,6,1,1,0,1,0,1,0,0,1,5
HC:PT,2,4,1,1,0,1,1,1,0,0,0,5
HC:PT,2,7,1,1,0,1,0,0,0,0,1,4
HC:PT,2,2,1,1,1,1,1,1,1,1,1,9
HC:PT,2,1,1,1,1,0,1,1,1,1,1,8
HC:PT,2,3,0,1,1,1,1,0,1,1,1,7
PT:PT,1,3,0,0,0,0,1,0,0,0,0,1
PT:PT,1,2,1,1,1,0,1,1,1,1,1,8
PT:PT,1,6,1,1,1,0,1,1,1,0,1,7
PT:PT,2,6,0,1,1,1,1,1,1,1,1,8
PT:PT,2,5,0,1,1,1,1,1,1,1,1,8
PT:PT,2,7,1,1,1,1,1,1,0,1,1,8
PT:PT,2,1,1,1,1,1,1,1,1,1,1,9
PT:PT,2,4,1,1,1,1,1,1,1,1,1,9
PT:PT,2,3,1,1,1,1,1,1,1,1,0,8
PT:PT,1,5,1,0,0,1,1,1,1,1,0,6
PT:PT,2,2,0,1,1,1,1,1,1,1,1,8
PT:PT,1,1,1,1,1,0,1,0,1,1,0,6
