Treat,Rep,Block,Day,IniTopAd,IniTopNym,IniBotAd,IniBotNym,A1TopAd,A1TopNym,A1BotAd,A1BotNym,A2TopAd,A2TopNym,A2BotAd,A2BotNym,A3TopAd,A3TopNym,A3BotAd,A3BotNym,B1TopAd,B1TopNym,B1BotAd,B1BotNym,B2TopAd,B2TopNym,B2BotAd,B2BotNym,B3TopAd,B3TopNym,B3BotAd,B3BotNym,C1TopAd,C1TopNym,C1BotAd,C1BotNym,C2TopAd,C2TopNym,C2BotAd,C2BotNym,C3TopAd,C3TopNym,C3BotAd,C3BotNym,Adtot,Nymtot,Poptot,IGR,Popred,propcol,nymchange,adjrepro,adtop,nymtop,addist,nymdist,centtot,centprop
C,1,1,2,17,32,7,12,2,7,0,14,1,1,1,0,1,9,0,1,3,7,0,0,5,57,0,43,0,0,0,3,4,19,0,0,2,5,1,0,3,7,0,4,23,177,200,7.375,-14.5,1,133,5.782608696,0.913043478,0.632768362,19.25217391,11.55412429,105,0.525
HCHC,1,1,2,16,19,12,19,1,0,0,2,0,0,1,0,1,7,0,0,1,8,0,0,6,61,1,48,1,5,0,0,0,0,0,0,0,0,0,1,1,3,0,0,13,135,148,4.821428571,27.5,0.888888889,97,7.461538462,0.846153846,0.622222222,11.14153846,4.587851852,116,0.783783784
HCC7,1,1,2,11,25,14,15,0,0,2,1,1,1,1,0,0,0,0,1,0,0,0,1,2,36,0,0,0,0,0,0,0,0,0,0,1,3,1,0,4,26,0,1,12,70,82,2.8,92.5,0.777777778,30,2.5,0.666666667,0.942857143,20.80666667,13.14457143,38,0.463414634
HCPT,1,1,2,2,11,22,37,1,0,1,1,1,11,0,0,1,0,1,2,0,2,0,0,6,24,0,88,1,12,0,0,0,0,0,1,1,6,1,3,2,2,1,4,17,156,173,6.5,6.5,1,108,6.352941176,0.764705882,0.365384615,16.35058824,6.171794872,118,0.682080925
C7C7,1,1,2,15,39,10,13,0,0,0,0,0,0,1,0,1,3,0,1,1,9,0,0,4,51,0,8,1,0,0,3,1,7,0,0,1,10,0,0,1,7,1,9,12,108,120,4.32,54.5,0.888888889,56,4.666666667,0.833333333,0.805555556,16.09333333,11.14407407,63,0.525
C7PT,1,1,2,12,21,13,34,2,0,0,0,0,0,0,3,1,7,0,3,0,3,0,0,4,48,0,24,2,9,0,5,1,0,0,1,3,12,1,6,0,7,0,7,14,135,149,5.4,27.5,1,80,5.714285714,0.928571429,0.637037037,16.65142857,10.86666667,76,0.510067114
PTPT,1,1,2,9,16,14,43,2,11,2,2,0,4,0,4,6,26,0,4,0,0,0,0,2,40,0,55,1,4,0,4,1,6,1,0,0,1,0,0,1,7,1,3,17,171,188,7.434782609,-8.5,0.888888889,112,6.588235294,0.764705882,0.578947368,24.46588235,11.74573099,97,0.515957447
C,2,1,2,10,19,5,21,2,8,0,5,1,11,1,6,1,5,0,3,0,0,0,0,7,59,0,30,0,0,0,1,0,1,1,0,3,5,0,0,1,1,0,2,17,137,154,9.133333333,25.5,0.888888889,97,5.705882353,0.882352941,0.656934307,14.2,8.518248175,96,0.623376623
HCHC,2,1,2,15,17,7,30,0,0,0,0,1,0,0,0,4,4,0,0,0,6,0,0,6,43,0,24,0,2,0,4,3,4,0,0,3,1,0,1,0,0,0,0,17,89,106,4.045454545,73.5,0.777777778,42,2.470588235,1,0.674157303,16.35058824,5.688089888,73,0.688679245
HCC7,2,1,2,11,33,17,35,1,0,1,0,2,3,1,0,1,1,0,0,0,0,0,2,0,64,1,7,1,4,0,1,1,10,0,0,4,2,0,1,6,3,1,4,20,102,122,3.642857143,60.5,1,34,1.7,0.8,0.852941176,23.554,7.539607843,72,0.590163934
HCPT,2,1,2,22,46,4,29,1,0,2,5,4,8,0,3,3,8,1,2,3,13,1,4,3,103,0,9,1,3,0,2,2,13,1,1,1,0,0,0,0,0,0,3,23,177,200,6.807692308,-14.5,1,102,4.434782609,0.782608696,0.836158192,20.99130435,8.841581921,115,0.575
C7C7,2,1,2,12,30,9,56,2,19,0,0,1,5,0,5,0,0,0,0,3,6,0,0,6,68,0,15,1,2,0,0,4,27,0,2,2,1,0,2,1,1,0,0,20,153,173,7.285714286,9.5,0.888888889,67,3.35,1,0.843137255,16.898,11.8020915,89,0.514450867
C7PT,2,1,2,8,14,9,26,1,0,1,0,0,1,0,0,1,11,0,4,1,0,0,0,1,18,2,7,1,3,0,0,3,12,0,0,2,19,0,0,3,20,0,7,16,102,118,6,60.5,1,62,3.875,0.8125,0.823529412,20.9075,19.48156863,28,0.237288136
PTPT,2,1,2,11,24,6,14,5,22,0,0,1,5,0,1,1,1,0,0,3,10,0,4,3,27,0,50,0,0,0,0,3,16,0,2,4,9,0,2,3,13,0,0,23,162,185,9.529411765,0.5,0.888888889,124,5.391304348,1,0.635802469,21.71130435,13.25382716,80,0.432432432
C,3,1,2,18,34,5,35,0,0,1,0,3,4,0,1,3,5,0,0,0,2,1,1,8,90,2,43,1,4,0,7,4,12,0,3,0,1,0,1,2,8,0,4,25,186,211,8.086956522,-23.5,1,117,4.68,0.84,0.677419355,15.312,7.12344086,143,0.677725118
HCHC,3,1,2,17,46,4,17,0,1,2,0,0,0,0,1,0,3,0,1,2,3,0,0,4,94,0,0,0,0,0,1,4,8,0,3,1,15,0,0,1,0,0,1,14,131,145,6.238095238,31.5,1,68,4.857142857,0.857142857,0.946564885,18.42571429,6.723358779,98,0.675862069
HCC7,3,1,2,17,35,6,25,0,0,0,0,0,0,0,4,1,8,0,6,0,0,0,0,4,70,0,13,0,0,0,0,4,5,0,0,2,4,0,0,2,2,0,1,13,113,126,4.913043478,49.5,0.666666667,53,4.076923077,1,0.787610619,18.30461538,6.921769912,87,0.69047619
HCPT,3,1,2,9,26,12,48,0,0,0,0,2,5,0,2,3,10,1,3,2,1,0,0,4,90,2,51,0,0,0,0,2,10,2,5,0,0,0,0,0,0,1,0,19,177,196,8.428571429,-14.5,0.666666667,103,5.421052632,0.684210526,0.655367232,17.60631579,5.377627119,147,0.75
C7C7,3,1,2,13,27,10,36,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,12,33,0,0,0,0,0,0,1,3,0,0,0,0,1,4,0,0,0,3,16,44,60,1.913043478,118.5,0.666666667,-19,-1.1875,0.9375,0.840909091,6.035,6.129090909,45,0.75
C7PT,3,1,2,14,30,8,34,1,0,0,1,2,6,2,12,1,18,0,1,2,6,0,2,2,59,1,11,1,6,0,0,5,7,0,0,1,2,1,1,0,0,0,0,19,132,151,6,30.5,0.888888889,68,3.578947368,0.789473684,0.787878788,19.89263158,11.08757576,73,0.483443709
PTPT,3,1,2,10,33,11,40,0,0,2,5,1,3,0,1,1,2,1,4,5,9,0,9,3,40,2,47,0,0,0,0,1,3,1,5,2,17,0,0,0,1,0,2,19,148,167,7.047619048,14.5,0.888888889,75,3.947368421,0.684210526,0.506756757,17.35157895,9.474054054,92,0.550898204
C,4,1,2,12,31,11,42,2,0,0,3,1,18,0,5,1,3,1,0,0,0,0,0,4,48,1,10,0,0,0,0,0,5,0,0,2,0,0,0,3,11,0,2,15,105,120,4.565217391,57.5,0.777777778,32,2.133333333,0.866666667,0.80952381,17.19733333,10.84495238,63,0.525
HCHC,4,1,2,12,15,10,21,0,0,0,0,4,7,0,0,7,5,0,0,0,0,0,1,0,48,1,5,0,0,0,3,1,0,0,0,1,0,0,2,4,1,0,0,18,72,90,3.272727273,90.5,0.888888889,36,2,0.944444444,0.847222222,24.40888889,5.967777778,54,0.6
HCC7,4,1,2,15,20,8,32,0,9,0,0,1,5,0,0,1,5,0,2,0,0,0,0,4,35,1,5,1,0,0,2,3,4,0,2,1,0,0,0,3,4,0,1,15,74,89,3.217391304,88.5,0.888888889,22,1.466666667,0.933333333,0.837837838,17.19733333,12.21027027,45,0.505617978
HCPT,4,1,2,16,22,9,41,0,7,2,7,2,3,0,5,0,0,1,3,0,9,0,0,1,45,0,10,2,9,0,0,4,5,0,0,0,0,0,0,3,6,0,0,15,109,124,4.36,53.5,0.888888889,46,3.066666667,0.8,0.770642202,24.18666667,12.03522936,56,0.451612903
C7C7,4,1,2,12,32,11,35,0,0,1,0,0,0,1,5,2,14,0,0,2,1,0,1,3,42,0,4,1,12,0,0,1,3,0,0,1,0,0,3,2,16,0,0,14,101,115,4.391304348,61.5,1,34,2.428571429,0.857142857,0.871287129,19.26285714,13.59643564,49,0.426086957
C7PT,4,1,2,14,22,11,27,0,4,0,0,4,14,0,0,1,0,0,0,4,17,0,0,2,52,0,46,4,5,0,0,1,3,0,0,0,0,0,0,3,12,0,0,19,153,172,6.12,9.5,0.888888889,104,5.473684211,1,0.699346405,20.07368421,8.217777778,100,0.581395349
PTPT,4,1,2,7,22,11,22,1,1,0,2,3,5,0,0,1,2,0,0,0,1,0,0,2,27,0,0,0,0,1,0,1,5,1,8,0,0,0,5,1,3,1,2,12,61,73,3.388888889,101.5,1,17,1.416666667,0.75,0.721311475,20.80666667,14.2695082,29,0.397260274
C,5,1,2,13,31,9,21,1,14,0,0,0,0,0,0,1,0,0,0,4,5,0,8,8,59,0,47,0,0,0,0,2,8,0,2,4,0,0,0,1,2,0,0,21,145,166,6.590909091,17.5,0.777777778,93,4.428571429,1,0.606896552,14.35238095,6.864,114,0.686746988
HCHC,5,1,2,14,20,12,44,1,1,0,0,0,0,1,0,1,10,0,4,0,2,0,2,5,49,1,84,0,0,0,0,2,6,0,9,1,3,0,0,0,0,2,5,14,175,189,6.730769231,-12.5,0.888888889,111,7.928571429,0.714285714,0.405714286,14.97714286,6.456,139,0.735449735
HCC7,5,1,2,16,17,12,40,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,8,9,49,0,3,2,0,0,14,0,0,0,1,0,0,1,6,1,2,0,2,16,88,104,3.142857143,74.5,0.888888889,31,1.9375,0.8125,0.590909091,9.785,8.746363636,61,0.586538462
